diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	NofSNPs	NofPmids
C0085547	Phenylketonuria, Maternal	disease	C16;C18;C13;C10	Disease or Syndrome	2	3
C0085548	Autosomal Recessive Polycystic Kidney Disease	disease	C16;C13;C12	Disease or Syndrome	317	64
C0085568	Buruli Ulcer	disease	C01;C17	Disease or Syndrome	4	3
C0085570	Hypokalemic alkalosis	disease	C18	Disease or Syndrome	1	0
C0085574	Palindromic rheumatism	disease	C17;C05;C20	Disease or Syndrome	2	1
C0085576	Iron-Refractory Iron Deficiency Anemia	disease	C18;C15	Disease or Syndrome	36	18
C0085578	Thalassemia Minor	disease	C16;C15	Disease or Syndrome	1	1
C0085580	Essential Hypertension	disease	C14	Disease or Syndrome	293	297
C0085583	Choreoathetosis	disease	C23;C10	Disease or Syndrome	9	2
C0085584	Encephalopathies	group	C10	Disease or Syndrome	64	35
C0085602	Polydipsia	phenotype	C23	Sign or Symptom	5	4
C0085605	Liver Failure	disease	C06	Disease or Syndrome	20	13
C0085606	Urgency of micturition	disease	C13;C12	Sign or Symptom	1	1
C0085610	Sinus bradycardia	phenotype	C23;C10;C14	Pathologic Function	2	0
C0085612	Ventricular arrhythmia	disease	C23;C14	Disease or Syndrome	37	32
C0085623	Akinesia	disease	C23;C10	Disease or Syndrome	3	2
C0085625	Hypoalgesia	phenotype	C23;C10;F03	Sign or Symptom	7	2
C0085631	Agitation	phenotype	C10;F03;F01	Sign or Symptom	4	1
C0085632	Apathy	phenotype	F01	Mental or Behavioral Dysfunction	9	6
C0085633	Mood swings	disease	C10;F03;F01	Mental or Behavioral Dysfunction	1	0
C0085636	Photophobia	phenotype	C23;C11;C10	Sign or Symptom	7	2
C0085637	Oculogyric crisis	phenotype	C23;C10	Pathologic Function	3	0
C0085639	Falls	phenotype		Finding	3	0
C0085650	Purpura Fulminans	disease	C23;C15	Disease or Syndrome	1	1
C0085652	Pyoderma Gangrenosum	disease	C17	Disease or Syndrome	2	2
C0085653	Pyogenic granuloma	disease	C23	Neoplastic Process	4	3
C0085655	Polymyositis	disease	C05;C10	Disease or Syndrome	22	8
C0085666	Spider nevus	disease	C04;C14	Disease or Syndrome	2	1
C0085669	Acute leukemia	disease	C23;C04	Neoplastic Process	50	31
C0085679	Hyperchloremia	disease	C18	Disease or Syndrome	2	0
C0085680	Hypochloremia (disorder)	disease	C18	Disease or Syndrome	1	1
C0085681	Hyperphosphatemia (disorder)	disease	C18	Disease or Syndrome	1	1
C0085682	Hypophosphatemia	phenotype	C18	Disease or Syndrome	5	2
C0085692	Hemorrhagic cystitis	disease	C23;C13;C01;C12;C15	Disease or Syndrome	1	1
C0085693	Acute appendicitis NOS (disorder)	disease	C06;C01	Disease or Syndrome	2	1
C0085695	Chronic gastritis	disease	C06	Disease or Syndrome	11	8
C0085696	Chronic prostatitis	disease	C12	Disease or Syndrome	1	1
C0085702	Monocytosis	disease	C23;C15	Disease or Syndrome	3	3
C0085758	Aganglionosis, Colonic	disease	C16;C06	Congenital Abnormality	11	6
C0085762	Alcohol abuse	disease	C25;F03	Mental or Behavioral Dysfunction	24	23
C0085786	Hamman-Rich syndrome	disease	C23;C01;C08	Disease or Syndrome	8	20
C0085859	Polyglandular Type I Autoimmune Syndrome	disease	C20;C19	Disease or Syndrome	76	71
C0085923	soft neurological signs	phenotype		Sign or Symptom	1	1
C0085932	Bullous Dermatitis	group	C17	Disease or Syndrome	1	1
C0086025	Codependency	disease	F01	Mental or Behavioral Dysfunction	2	2
C0086103	Decayed, Missing, and Filled Teeth	disease		Acquired Abnormality	3	1
C0086132	Depressive Symptoms	phenotype	F01	Sign or Symptom	120	120
C0086133	Depressive Syndrome	disease	F03	Mental or Behavioral Dysfunction	3	2
C0086209	Emotional Stress	phenotype	F01	Mental or Behavioral Dysfunction	1	1
C0086237	Epilepsy, Cryptogenic	disease	C10	Disease or Syndrome	4	2
C0086367	Gonadotropin-Resistant Ovary Syndrome	disease	C13;C19	Disease or Syndrome	4	2
C0086431	Hurler-Scheie Syndrome	disease	C16;C18;C17	Disease or Syndrome	20	17
C0086437	Joint laxity	phenotype	C05	Pathologic Function	15	0
C0086438	Hypogammaglobulinemia	disease	C20;C15	Disease or Syndrome	2	3
C0086439	Hypokinesia	phenotype	C23;C10	Finding	2	0
C0086445	Idiopathic Membranous Glomerulonephritis	disease	C13;C12;C20	Disease or Syndrome	13	11
C0086543	Cataract	disease	C11	Acquired Abnormality	124	87
C0086647	Mucopolysaccharidosis Type IIIA	disease	C16;C18;C17	Disease or Syndrome	69	52
C0086648	MPS III B	disease	C16;C18;C17	Disease or Syndrome	92	42
C0086649	MPS III C	disease	C16;C18;C17	Disease or Syndrome	38	15
C0086650	MPS III D	disease	C16;C18;C17	Disease or Syndrome	5	0
C0086651	Mucopolysaccharidosis, MPS-IV-A	disease	C16;C18;C17	Disease or Syndrome	90	36
C0086652	Mucopolysaccharidosis type IVB	disease	C16;C18;C17	Disease or Syndrome	72	64
C0086664	Myelocele	disease	C16;C10	Congenital Abnormality	1	0
C0086692	Benign Neoplasm	group	C04	Neoplastic Process	7	9
C0086743	Osteoarthrosis Deformans	disease	C05	Disease or Syndrome	1	1
C0086769	Panic Attacks	disease	F03	Mental or Behavioral Dysfunction	3	2
C0086795	Pfaundler-Hurler Syndrome	disease	C16;C18;C17	Disease or Syndrome	90	72
C0086981	Sicca Syndrome	disease	C11;C17;C05;C20;C07	Disease or Syndrome	4	4
C0087012	Ataxia, Spinocerebellar	disease	C16;C10	Disease or Syndrome	4	13
C0087031	Juvenile-Onset Still Disease	disease	C17;C05;C20	Disease or Syndrome	41	2
C0087169	Withdrawal Symptoms	phenotype	C25;F03	Sign or Symptom	10	6
C0149514	Acute bronchitis	disease	C23;C01;C08	Disease or Syndrome	2	0
C0149516	Chronic sinusitis	disease	C01;C08;C09	Disease or Syndrome	6	1
C0149517	Chronic tonsillitis	disease	C01;C08;C07;C09	Disease or Syndrome	3	1
C0149521	Pancreatitis, Chronic	disease	C06	Disease or Syndrome	56	68
C0149530	Congenital heart block	disease	C23;C14	Disease or Syndrome; Congenital Abnormality	2	1
C0149630	Bicuspid aortic valve	disease	C14	Congenital Abnormality	23	9
C0149632	Abnormality of the bladder	phenotype	C13;C12	Finding	2	2
C0149642	Cervical lymphadenitis	disease	C15	Disease or Syndrome	1	1
C0149651	Clubbing	phenotype		Sign or Symptom	1	1
C0149654	Conduct Disorder	disease	F03	Mental or Behavioral Dysfunction	18	13
C0149678	Epstein-Barr Virus Infections	group	C01	Disease or Syndrome	72	5
C0149696	Food intolerance (disorder)	disease	C23	Disease or Syndrome	1	1
C0149721	Left Ventricular Hypertrophy	disease	C23;C14	Disease or Syndrome	67	57
C0149725	Lower respiratory tract infection	group	C01;C08	Disease or Syndrome	7	4
C0149744	Oral lesion	phenotype	C06;C07	Finding	5	0
C0149745	Oral Ulcer	disease	C07	Disease or Syndrome	101	5
C0149756	Fasciitis, Plantar	disease	C05	Disease or Syndrome	1	1
C0149779	Somatization	disease		Mental or Behavioral Dysfunction	5	2
C0149781	Spontaneous pneumothorax	disease	C08	Disease or Syndrome	6	2
C0149782	Squamous cell carcinoma of lung	disease	C04;C08	Neoplastic Process	283	38
C0149793	Amaurosis Fugax	phenotype	C23;C11;C10	Sign or Symptom	2	1
C0149841	Benign recurrent intrahepatic cholestasis	disease	C16;C06;C18;C17	Disease or Syndrome	1	1
C0149870	De Quervain Disease	disease	C05	Disease or Syndrome	1	1
C0149871	Deep Vein Thrombosis	disease	C14	Disease or Syndrome	93	88
C0149875	Primary dysmenorrhea	disease	C23	Disease or Syndrome	3	4
C0149893	Secondary glaucoma	disease	C23;C11;C10	Disease or Syndrome	2	2
C0149896	Primary gout	disease	C23;C16;C18;C05	Disease or Syndrome	5	4
C0149925	Small cell carcinoma of lung	disease	C04;C08	Neoplastic Process	125	59
C0149931	Migraine Disorders	group	C10	Disease or Syndrome	264	170
C0149955	Annular pancreas	disease	C06	Congenital Abnormality	1	1
C0149958	Complex partial seizures	disease	C23;C10	Disease or Syndrome	5	2
C0149978	Adenocarcinoma of rectum	disease	C06;C04	Neoplastic Process	1	1
C0150045	Urge Incontinence	phenotype	C23;C13;C12	Finding	6	1
C0150055	Chronic pain	phenotype	C23	Sign or Symptom	19	12
C0150080	Social Communication Disorder	disease	F03	Mental or Behavioral Dysfunction	4	1
C0150988	Sclerodactyly	disease	C17	Disease or Syndrome	1	1
C0151281	Genital ulcers	disease		Disease or Syndrome	6	6
C0151311	Cranial nerve palsies	disease	C10	Disease or Syndrome	1	1
C0151313	Sensory neuropathy	disease	C23;C10	Disease or Syndrome	15	6
C0151332	Active tuberculosis	disease	C01	Disease or Syndrome	25	14
C0151436	Vasculitis, Leukocytoclastic, Cutaneous	disease	C20;C14	Disease or Syndrome	1	1
C0151449	Primary Sjögren's syndrome	disease	C11;C17;C05;C20;C07	Disease or Syndrome	42	30
C0151468	Thyroid Gland Follicular Adenoma	disease	C04;C19	Neoplastic Process	14	8
C0151476	Hypochloremic alkalosis	disease	C18	Disease or Syndrome	1	1
C0151480	Anti-nuclear factor positive	phenotype	C17	Laboratory or Test Result	3	0
C0151514	Atrophic condition of skin	group	C23;C17	Disease or Syndrome	4	2
C0151516	Thyroid Hypoplasia	disease	C16;C19	Disease or Syndrome	6	5
C0151517	Complete atrioventricular block	disease	C23;C14	Disease or Syndrome	96	79
C0151526	Premature Birth	phenotype	C13	Pathologic Function	50	9
C0151529	Prolonged bleeding time	phenotype		Finding	3	0
C0151544	Gastrointestinal carcinoma	disease	C06;C04	Neoplastic Process	3	1
C0151546	Oral Cavity Carcinoma	disease	C06;C04;C07	Neoplastic Process	16	10
C0151559	Central nervous system depression (disorder)	disease	C10;F01	Disease or Syndrome	1	1
C0151564	Cogwheel Rigidity	phenotype	C23;C05;C10	Sign or Symptom	1	0
C0151572	Reflex, Corneal, Decreased	phenotype	C23;C10	Finding	1	0
C0151611	Electroencephalogram abnormal	phenotype	C10	Finding	27	45
C0151636	Premature ventricular contractions	phenotype	C23;C14	Disease or Syndrome	13	8
C0151650	Renal fibrosis	disease	C23;C13;C12	Disease or Syndrome	1	1
C0151683	Neutrophilia (finding)	phenotype		Finding	1	0
C0151691	Decreased HDL cholesterol concentration	phenotype	C16;C18	Finding	2	1
C0151699	Intracranial Hemorrhage	group	C23;C10;C14	Pathologic Function	2	0
C0151718	Hypocholesterolemia	disease	C18	Disease or Syndrome	22	6
C0151721	Testicular hypogonadism	disease	C19	Disease or Syndrome	1	1
C0151723	Hypomagnesemia	phenotype	C18	Disease or Syndrome	11	8
C0151740	Intracranial Hypertension	disease	C10	Finding	1	0
C0151744	Myocardial Ischemia	disease	C14	Disease or Syndrome	103	84
C0151746	Abnormal renal function	phenotype	C13;C12	Pathologic Function	6	1
C0151747	Renal tubular disorder	disease	C13;C12	Disease or Syndrome	5	1
C0151779	Cutaneous Melanoma	disease	C04;C17	Neoplastic Process	248	76
C0151786	Muscle Weakness	phenotype	C23;C05;C10	Sign or Symptom	87	46
C0151811	Subcutaneous nodule	phenotype	C04;C17;C05	Pathologic Function	1	0
C0151814	Coronary Occlusion	disease	C14	Disease or Syndrome	1	1
C0151818	Opisthotonus	phenotype	C23;C05;C10	Sign or Symptom	2	1
C0151826	Retrosternal pain	phenotype	C23;C14	Sign or Symptom	7	1
C0151860	Acquired porencephaly	disease	C16;C05;C10	Disease or Syndrome	3	3
C0151861	Porphyruria	disease	C23;C18;C17	Disease or Syndrome	1	0
C0151878	Prolonged QT interval	phenotype	C23;C14	Finding	12	16
C0151889	Hyperreflexia	phenotype	C23;C10	Finding	19	3
C0151891	Retinal depigmentation	phenotype	C23;C11;C17	Disease or Syndrome	5	1
C0151908	Dry skin	phenotype	C17	Sign or Symptom	12	2
C0151936	Disorder of tendon	group	C17;C05	Disease or Syndrome	14	7
C0151942	Arterial thrombosis	phenotype	C23;C14	Pathologic Function	1	0
C0151945	Thrombosis of cerebral veins	disease	C10;C14	Disease or Syndrome	11	16
C0152013	Adenocarcinoma of lung (disorder)	disease	C04	Neoplastic Process	563	277
C0152018	Esophageal carcinoma	disease	C06;C04	Neoplastic Process	272	155
C0152020	Gastroparesis	disease	C23;C06	Disease or Syndrome	7	0
C0152021	Congenital heart disease	group	C16;C14	Congenital Abnormality	80	51
C0152025	Polyneuropathy	disease	C10	Disease or Syndrome	32	100
C0152081	Pustular psoriasis	disease	C17	Disease or Syndrome	1	1
C0152095	Patau syndrome	disease	C16;C10;C14	Disease or Syndrome	1	1
C0152101	Hypoplastic Left Heart Syndrome	disease	C16;C14	Disease or Syndrome	7	1
C0152109	Juvenile Spinal Muscular Atrophy	disease	C16;C10	Disease or Syndrome	17	7
C0152115	Lingual-Facial-Buccal Dyskinesia	disease	C23;C10	Disease or Syndrome	4	2
C0152132	Hypertensive Retinopathy	disease	C11;C14	Disease or Syndrome	2	1
C0152136	Low Tension Glaucoma	disease	C11	Disease or Syndrome	56	43
C0152164	Cyclical vomiting syndrome (disorder)	disease	C23	Disease or Syndrome	4	1
C0152169	Renal Colic	phenotype	C23	Sign or Symptom	2	0
C0152171	Idiopathic pulmonary hypertension	disease	C08;C14	Disease or Syndrome	5	3
C0152190	Refractive amblyopia	disease	C23;C11;C10	Disease or Syndrome	1	3
C0152191	Scotoma, Central	phenotype	C23;C11;C10	Finding	2	0
C0152194	Irregular astigmatism	disease	C11	Disease or Syndrome	1	1
C0152200	Achromatopsia	disease	C23;C11;C10	Disease or Syndrome	63	30
C0152203	Strabismus, Comitant	phenotype	C11;C10	Disease or Syndrome	1	1
C0152207	Alternating Exotropia	disease	C11;C10	Disease or Syndrome	1	0
C0152217	Exophoria	disease	C11;C10	Disease or Syndrome	1	0
C0152227	Excessive tearing	disease	C11	Disease or Syndrome	2	0
C0152236	Talipes valgus	disease	C16;C05	Congenital Abnormality	2	0
C0152244	Bone Cysts, Aneurysmal	disease	C04;C05	Disease or Syndrome	5	2
C0152259	Cataract secondary to ocular disorder	disease	C11	Disease or Syndrome	1	1
C0152264	Familial erythrocytosis	disease	C16;C15	Disease or Syndrome	2	3
C0152266	Mixed Cellularity Hodgkin Lymphoma	disease	C04;C20;C15	Neoplastic Process	3	1
C0152268	Nodular Sclerosis Classical Hodgkin Lymphoma	disease	C04;C20;C15	Neoplastic Process	22	11
C0152276	Granulocytic Sarcoma	disease	C04	Neoplastic Process	1	1
C0152415	Ankyloglossia	disease	C07	Congenital Abnormality	2	0
C0152419	Interrupted aortic arch	disease	C16;C14	Congenital Abnormality	1	0
C0152421	Macrotia	disease		Congenital Abnormality	18	2
C0152423	Congenital small ears	disease	C16;C09	Congenital Abnormality	13	3
C0152424	Common ventricle	disease	C16;C14	Congenital Abnormality	5	1
C0152427	Polydactyly	disease	C16;C05	Congenital Abnormality	43	7
C0152438	Sprengel deformity	disease	C16	Congenital Abnormality	4	1
C0152439	Retinoschisis	disease	C11	Disease or Syndrome	6	3
C0152441	Madelung Deformity	disease	C23;C16;C05	Congenital Abnormality	2	3
C0152451	Chronic glomerulonephritis	disease	C13;C12	Disease or Syndrome	7	4
C0152457	Kayser-Fleischer ring	disease	C11	Disease or Syndrome	2	2
C0152459	Linear atrophy	disease	C23	Acquired Abnormality	6	0
C0152517	Viral gastroenteritis	group	C23;C06;C01	Disease or Syndrome	1	1
C0153349	Malignant neoplasm of tongue	disease	C04;C07	Neoplastic Process	1	1
C0153368	Malignant neoplasm of floor of mouth	disease	C04;C07	Neoplastic Process	16	3
C0153369	Malignant neoplasm of anterior portion of floor of mouth	disease	C04;C07	Neoplastic Process	13	1
C0153373	Malignant neoplasm of cheek mucosa	disease	C04;C07	Neoplastic Process	1	1
C0153380	Malignant neoplasm of other specified parts of mouth	disease	C04;C07	Neoplastic Process	13	1
C0153381	Malignant neoplasm of mouth	group	C04;C07	Neoplastic Process	184	111
C0153382	Malignant neoplasm of oropharynx	disease	C04;C07;C09	Neoplastic Process	15	8
C0153389	malignant neoplasm of lateral wall of oropharynx	disease	C04;C07;C09	Neoplastic Process	5	1
C0153390	Malignant neoplasm of posterior wall of oropharynx	disease	C04;C08;C07;C09	Neoplastic Process	5	1
C0153392	Malignant neoplasm of nasopharynx	disease	C04;C07;C09	Neoplastic Process	10	6
C0153398	Hypopharyngeal Cancer	disease	C04;C07;C09	Neoplastic Process	1	1
C0153405	Malignant neoplasm of pharynx	disease	C04;C07;C09	Neoplastic Process	9	5
C0153407	Malignant neoplasm of other sites within the lip and oral cavity	disease	C04;C07	Neoplastic Process	13	1
C0153425	Malignant tumor of small intestine	disease	C06;C04	Neoplastic Process	1	0
C0153426	Malignant neoplasm of duodenum	disease	C06;C04	Neoplastic Process	1	1
C0153436	Malignant neoplasm of sigmoid colon	disease	C06;C04	Neoplastic Process	1	0
C0153439	Malignant neoplasm of ascending colon	disease	C06;C04	Neoplastic Process	3	1
C0153452	Malignant neoplasm of gallbladder	disease	C06;C04	Neoplastic Process	81	31
C0153467	Malignant tumor of peritoneum	disease	C06;C04;C17	Neoplastic Process	1	1
C0153535	Malignant melanoma of skin of upper limb	disease	C04;C17	Neoplastic Process	42	2
C0153536	Malignant melanoma of skin of lower limb	disease	C04;C17	Neoplastic Process	42	2
C0153560	Kaposi's sarcoma of skin	disease	C04;C01	Neoplastic Process	1	1
C0153567	Uterine Cancer	disease	C04;C13	Neoplastic Process	4	2
C0153574	Malignant Uterine Corpus Neoplasm	disease	C04;C13	Neoplastic Process	152	1
C0153579	Malignant neoplasm of fallopian tube	group	C04;C13	Neoplastic Process	1	1
C0153594	Malignant neoplasm of testis	disease	C04;C12;C19	Neoplastic Process	31	8
C0153601	Malignant neoplasm of penis	disease	C04;C12	Neoplastic Process	3	1
C0153633	Malignant neoplasm of brain	disease	C04;C10	Neoplastic Process	16	6
C0153653	Malignant tumor of parathyroid gland	disease	C04;C19	Neoplastic Process	1	1
C0153676	Secondary malignant neoplasm of lung	disease	C04;C08	Neoplastic Process	20	18
C0153687	Secondary malignant neoplasm of skin	disease	C04;C17	Neoplastic Process	2	2
C0153690	Secondary malignant neoplasm of bone	disease	C23;C04;C05	Neoplastic Process	18	11
C0154038	Benign neoplasm of thyroid gland	disease	C04;C19	Neoplastic Process	4	2
C0154084	Stage 0 Breast Carcinoma	disease	C04;C17	Neoplastic Process	8	3
C0154143	Toxic multinodular goiter	disease	C19	Disease or Syndrome	3	3
C0154208	Disorder of endocrine ovary	group	C13;C19	Disease or Syndrome	1	1
C0154251	Lipid Metabolism Disorders	group	C18	Disease or Syndrome	10	7
C0154409	Recurrent major depressive episodes	disease	F03	Mental or Behavioral Dysfunction	9	6
C0154437	Atypical depressive disorder	disease	F03	Mental or Behavioral Dysfunction	2	2
C0154575	Rumination Disorders	group	F03	Mental or Behavioral Dysfunction	13	9
C0154676	Organic writer's cramp	disease	C10	Disease or Syndrome	3	2
C0154681	Anterior Horn Cell Disease	disease	C10	Disease or Syndrome	1	0
C0154682	Lateral Sclerosis	disease	C10	Disease or Syndrome	1	1
C0154723	Migraine with Aura	disease	C10	Disease or Syndrome	56	43
C0154754	Hereditary and idiopathic neuropathy, unspecified	disease	C10	Disease or Syndrome	6	2
C0154778	Myopia, Degenerative	disease	C11	Disease or Syndrome	58	9
C0154822	Serous retinal detachment	disease	C11	Disease or Syndrome	2	2
C0154828	Traction detachment of retina	disease	C11	Pathologic Function	1	0
C0154830	Proliferative diabetic retinopathy	disease	C23;C11;C19;C14	Disease or Syndrome	45	12
C0154832	Exudative retinopathy	disease	C11;C14	Disease or Syndrome	6	1
C0154841	Central retinal vein occlusion	disease	C11;C10;C14	Disease or Syndrome	7	6
C0154850	Cystoid macular retinal degeneration	disease	C11	Disease or Syndrome	1	0
C0154856	Retinal lattice degeneration	disease	C11	Disease or Syndrome	2	0
C0154860	Hereditary retinal dystrophy	group	C16;C11	Disease or Syndrome	1	0
C0154936	Pupillary abnormality	phenotype	C23;C11;C10	Finding	1	0
C0154946	Acute angle-closure glaucoma	disease	C23;C11;C10	Disease or Syndrome	1	1
C0154971	Presenile cataract	disease	C11	Disease or Syndrome	2	1
C0155015	Color Blindness, Red	disease	C23;C11;C10	Disease or Syndrome	1	0
C0155017	Color Blindness, Blue	disease	C23;C11;C10	Disease or Syndrome	12	6
C0155120	Corneal Dystrophy, Band-Shaped	disease	C16;C11	Disease or Syndrome	3	2
C0155127	Familial Amyloid Polyneuropathy, Type V	disease	C16;C18;C10	Disease or Syndrome	19	26
C0155210	Eyelid Xanthoma	disease	C18;C11	Disease or Syndrome	32	0
C0155299	Coloboma of optic disc	disease	C16;C11	Disease or Syndrome	14	4
C0155336	Esotropia with accommodative compensation	disease	C11;C10	Disease or Syndrome	1	1
C0155360	Staphyloma posticum	disease	C11	Disease or Syndrome	1	0
C0155366	Vitreous degeneration	disease	C11	Disease or Syndrome	1	1
C0155502	Benign Paroxysmal Positional Vertigo	disease	C23;C10;C09	Disease or Syndrome	1	1
C0155567	Rheumatic aortic stenosis	disease	C01;C14	Disease or Syndrome	5	2
C0155616	Secondary hypertension	disease	C14	Disease or Syndrome	1	1
C0155626	Acute myocardial infarction	disease	C23;C14	Disease or Syndrome	118	87
C0155733	Atherosclerosis of aorta	phenotype	C14	Disease or Syndrome	1	1
C0155765	Disease of capillaries	group	C14	Disease or Syndrome	5	2
C0155773	Portal Vein Thrombosis	disease	C14	Disease or Syndrome	8	13
C0155778	Varicose veins of lower extremity	disease	C14	Disease or Syndrome	1	1
C0155820	Acute bronchitis and bronchiolitis	disease		Disease or Syndrome	2	0
C0155862	Streptococcal pneumonia	disease	C01;C08	Disease or Syndrome	2	1
C0155870	Pneumonia and influenza	disease	C01;C08	Disease or Syndrome	2	2
C0155877	Allergic asthma	disease	C08;C20	Disease or Syndrome	55	45
C0155880	Intrinsic asthma	disease	C08;C20	Disease or Syndrome	5	4
C0155883	Chronic obstructive asthma (with obstructive pulmonary disease)	disease	C08;C20	Disease or Syndrome	1	1
C0155912	Pulmonary Alveolar Microlithiasis	disease	C16;C18;C08	Disease or Syndrome	3	1
C0155922	Tooth development and eruption disorder	disease	F03;C07	Disease or Syndrome	8	1
C0155943	Arthralgia of temporomandibular joint	disease	C23;C05;C10;C07	Disease or Syndrome	1	1
C0156147	Crohn's disease of large bowel	disease	C06	Disease or Syndrome	1	1
C0156257	Calculus of kidney and ureter	phenotype	C23;C13;C12	Disease or Syndrome	3	1
C0156344	Endometriosis of ovary	disease	C13;C19	Disease or Syndrome	3	2
C0156394	Hypertrophy of clitoris	disease	C16;C13	Disease or Syndrome	2	2
C0156404	Irregular Menstruation	phenotype	C23	Finding	3	0
C0157733	Abnormality of the hair	group	C17	Finding	1	0
C0157743	Vibratory urticaria	disease	C17;C20	Disease or Syndrome	1	1
C0158026	Monoarthritis	disease	C05	Disease or Syndrome	1	1
C0158113	Contracture of joint of hand	disease	C05	Anatomical Abnormality	5	0
C0158252	Intervertebral disc disorder	group	C23;C05	Disease or Syndrome	19	13
C0158266	Intervertebral Disc Degeneration	disease	C05	Disease or Syndrome	47	21
C0158288	Spinal stenosis of lumbar region	disease	C05	Disease or Syndrome	2	0
C0158360	Fibromatosis, Plantar	disease	C04;C17;C05	Disease or Syndrome	1	1
C0158465	Acquired cubitus valgus	disease		Acquired Abnormality	1	0
C0158489	Acquired clubfoot	disease	C16;C13;C17;C05	Acquired Abnormality	2	1
C0158551	Embryonal nuclear cataract (disorder)	disease	C16;C11	Congenital Abnormality	1	2
C0158570	Vascular anomaly	phenotype	C16;C14	Anatomical Abnormality	5	3
C0158611	Other congenital anomalies of heart	group	C16;C14	Congenital Abnormality	2	1
C0158646	Cleft palate with cleft lip	disease	C16;C05;C07	Congenital Abnormality	43	30
C0158667	Aplasia of Lacrimal and Salivary Glands	disease	C11;C07	Congenital Abnormality	4	0
C0158683	Polycystic liver disease	disease	C23;C06;C04	Disease or Syndrome	17	2
C0158687	Congenital malformation of genital organs	group	C16;C13;C12	Congenital Abnormality	1	1
C0158731	Congenital pectus carinatum	disease	C16;C17;C05	Congenital Abnormality	26	0
C0158733	Hand polydactyly	disease	C16;C05	Congenital Abnormality	1	0
C0158734	Polydactyly of toes	disease	C16;C05	Congenital Abnormality	2	0
C0158763	Macrodactylia of fingers	disease	C16;C05	Congenital Abnormality	1	1
C0158768	Macrodactyly of toe	disease	C16;C05	Congenital Abnormality	1	0
C0158944	Infections specific to perinatal period	group	C23;C01	Disease or Syndrome	1	1
C0158945	Congenital cytomegalovirus infection	disease	C01	Disease or Syndrome	7	4
C0158962	Hemolytic disease of fetus OR newborn due to RhD isoimmunization	disease	C16;C13;C20;C15	Disease or Syndrome	1	1
C0158981	Neonatal diabetes mellitus	disease	C16;C18;C19	Disease or Syndrome	33	22
C0158986	Neonatal hypoglycemia	disease	C16;C18	Disease or Syndrome	13	1
C0159020	Convulsions in the newborn	disease	C23;C10	Disease or Syndrome	4	3
C0162154	Atrophic scar	phenotype	C23	Pathologic Function	3	0
C0162164	Congenital stenosis of pulmonary valve	disease	C16;C13;C14	Congenital Abnormality	3	10
C0162275	Ketonuria	disease	C18	Disease or Syndrome	1	1
C0162281	Corneal deposit	disease	C23;C11;C10	Disease or Syndrome	3	3
C0162283	Nephrogenic Diabetes Insipidus	disease	C13;C12	Disease or Syndrome	41	7
C0162285	Edema of eyelid	phenotype	C13;C11;C17;C12;C20;C14	Pathologic Function	1	0
C0162292	External Ophthalmoplegia	disease	C23;C11;C10	Disease or Syndrome	6	1
C0162296	Polyarthralgia	disease	C23;C05	Disease or Syndrome	1	1
C0162297	Respiratory arrest	phenotype	C23;C08;C10;C14	Pathologic Function	2	0
C0162298	Joint stiffness	phenotype	C05	Sign or Symptom	14	0
C0162309	Adrenoleukodystrophy	disease	C16;C18;C10;C19	Disease or Syndrome	116	147
C0162311	Androgenetic Alopecia	disease	C23;C17	Disease or Syndrome	107	10
C0162316	Iron deficiency anemia	disease	C18;C15	Disease or Syndrome	21	9
C0162323	Polyarthritis	disease	C05	Disease or Syndrome	9	4
C0162359	Christ-Siemens-Touraine syndrome	disease	C16;C17	Disease or Syndrome	78	52
C0162361	Hidrotic Ectodermal Dysplasia	disease	C16;C17	Disease or Syndrome	7	23
C0162429	Malnutrition	disease	C18	Disease or Syndrome	29	16
C0162510	Caroli Disease	disease	C16;C06	Disease or Syndrome; Congenital Abnormality	1	0
C0162529	Colitis, Ischemic	disease	C06;C14	Disease or Syndrome	3	1
C0162530	Porphyria, Erythropoietic	disease	C16;C18;C17	Disease or Syndrome	26	24
C0162531	Hereditary Coproporphyria	disease	C16;C06;C18;C17	Disease or Syndrome	11	12
C0162532	Variegate Porphyria	disease	C16;C06;C18;C17	Disease or Syndrome	24	28
C0162534	Prion Diseases	group	C01;C10	Disease or Syndrome	67	97
C0162538	Immunoglobulin A deficiency (disorder)	disease	C20;C15	Disease or Syndrome	25	3
C0162539	IgG Deficiency disorder	disease	C20;C15	Disease or Syndrome	2	2
C0162557	Liver Failure, Acute	disease	C06	Disease or Syndrome	21	52
C0162565	Acute intermittent porphyria	disease	C16;C06;C18;C17	Disease or Syndrome	68	43
C0162566	Porphyria Cutanea Tarda	disease	C16;C06;C18;C17	Disease or Syndrome	39	39
C0162568	Erythropoietic Protoporphyria	disease	C16;C06;C18;C17	Disease or Syndrome	3	4
C0162569	Hepatoerythropoietic Porphyria	disease	C16;C06;C18;C17	Disease or Syndrome	7	6
C0162635	Angelman Syndrome	disease	C16;C10	Disease or Syndrome	135	14
C0162666	Mitochondrial Encephalomyopathies	disease	C18;C05;C10	Disease or Syndrome	11	3
C0162670	Mitochondrial Myopathies	group	C18;C05;C10	Disease or Syndrome	19	10
C0162671	MELAS Syndrome	disease	C16;C18;C05;C10;C14	Disease or Syndrome	53	74
